,ChiSquaredMonteCarlo_comparisons
RUNX1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.553344666
RUNX1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.03379662
RUNX1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
RUNX1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.553344666
RUNX1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.064593541
RUNX1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1
RUNX1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.03379662
RUNX1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.064593541
ASXL1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1.00E-04
ASXL1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1.00E-04
ASXL1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.00019998
ASXL1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1.00E-04
ASXL1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.073092691
ASXL1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.434656534
ASXL1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
ASXL1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.073092691
ASXL1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.800219978
ASXL1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.00019998
ASXL1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.434656534
ASXL1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.800219978
CSF3R___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.01909809
CSF3R___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.297170283
CSF3R___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.03489651
CSF3R___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.01909809
CSF3R___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.339666033
CSF3R___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
CSF3R___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.302169783
CSF3R___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.336866313
CSF3R___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.205479452
CSF3R___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.03489651
CSF3R___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
CSF3R___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.214478552
NRAS___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.00029997
NRAS___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.057194281
NRAS___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.01989801
NRAS___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.00029997
NRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.03729627
NRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.784121588
NRAS___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.054894511
NRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.03729627
NRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.366663334
NRAS___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.01989801
NRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.784121588
NRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.366663334
CEBPA___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.747825217
CEBPA___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.205479452
CEBPA___LAML_TCGA_VS_CHR_NTUH_BP_MPN,1
CEBPA___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.747825217
CEBPA___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
CEBPA___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
CEBPA___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.205479452
CEBPA___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
CEBPA___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.592840716
CEBPA___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1
CEBPA___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
CEBPA___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.592840716
FLT3___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.086691331
FLT3___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00019998
FLT3___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.360263974
FLT3___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.086691331
FLT3___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.412258774
FLT3___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.750924908
FLT3___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00019998
FLT3___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.412258774
FLT3___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.306769323
FLT3___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.359664034
FLT3___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.750924908
FLT3___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.306769323
TP53___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
TP53___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00069993
TP53___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.704529547
TP53___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
TP53___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.02189781
TP53___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.661133887
TP53___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00069993
TP53___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.02219778
TP53___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.288371163
TP53___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.704529547
TP53___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.661133887
TP53___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.286471353
EZH2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.02149785
EZH2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.0249975
EZH2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.00119988
EZH2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.02149785
EZH2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.735226477
EZH2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.268973103
EZH2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.0249975
EZH2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.735226477
EZH2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.04459554
EZH2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.00119988
EZH2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.268973103
EZH2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.04459554
KIT___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
KIT___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.320767923
KIT___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.602739726
KIT___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
KIT___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.571942806
KIT___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
KIT___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.320767923
KIT___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.571942806
KIT___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
KIT___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.602739726
KIT___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.515848415
KIT___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.693930607
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.02039796
U2AF1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.614538546
U2AF1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.693930607
U2AF1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.560943906
U2AF1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
U2AF1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.02049795
U2AF1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.559344066
U2AF1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.740925907
U2AF1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.614538546
U2AF1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
U2AF1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.740925907
TET2___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1.00E-04
TET2___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.02079792
TET2___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.143785621
TET2___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1.00E-04
TET2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1.00E-04
TET2___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.00139986
TET2___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.02079792
TET2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1.00E-04
TET2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
TET2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.142985701
TET2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.00139986
TET2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.299570043
KRAS___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.611538846
KRAS___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
KRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.731226877
KRAS___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.622237776
KRAS___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.301469853
KRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.731226877
KRAS___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
KRAS___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.611538846
KRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.622237776
KRAS___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
WT1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.753024698
WT1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1
WT1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.369963004
WT1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.753024698
WT1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
WT1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
WT1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1
