unique_genes
ENSG00000000003.15
ENSG00000000419.14
ENSG00000000457.14
ENSG00000000460.17
ENSG00000000938.13
ENSG00000000971.17
ENSG00000001036.14
ENSG00000001084.13
ENSG00000001167.15
ENSG00000001460.18
ENSG00000001461.17
ENSG00000001497.18
ENSG00000001561.7
ENSG00000001617.12
ENSG00000001626.18
ENSG00000001629.10
ENSG00000001630.18
ENSG00000001631.17
ENSG00000002016.18
ENSG00000002330.14
ENSG00000002549.13
ENSG00000002587.10
ENSG00000002726.21
ENSG00000002745.13
ENSG00000002746.15
ENSG00000002822.16
ENSG00000002834.18
ENSG00000002919.15
ENSG00000002933.9
ENSG00000003056.8
ENSG00000003096.15
ENSG00000003137.9
ENSG00000003147.19
ENSG00000003249.15
ENSG00000003393.16
ENSG00000003400.16
ENSG00000003402.21
ENSG00000003436.16
ENSG00000003509.16
ENSG00000003756.17
ENSG00000003987.14
ENSG00000003989.18
ENSG00000004059.11
ENSG00000004139.14
ENSG00000004142.12
ENSG00000004399.13
ENSG00000004455.18
ENSG00000004468.13
ENSG00000004478.8
ENSG00000004487.18
ENSG00000004534.15
ENSG00000004660.15
ENSG00000004700.16
ENSG00000004766.17
ENSG00000004776.13
ENSG00000004777.19
ENSG00000004779.10
ENSG00000004799.8
ENSG00000004809.14
ENSG00000004838.14
ENSG00000004846.17
ENSG00000004864.14
ENSG00000004866.22
ENSG00000004897.12
ENSG00000004939.16
ENSG00000004961.15
ENSG00000004975.12
ENSG00000005007.14
ENSG00000005020.13
ENSG00000005022.6
ENSG00000005059.16
ENSG00000005073.6
ENSG00000005075.16
ENSG00000005100.13
ENSG00000005108.17
ENSG00000005156.12
ENSG00000005175.10
ENSG00000005187.12
ENSG00000005189.20
ENSG00000005194.15
ENSG00000005206.17
ENSG00000005238.20
ENSG00000005243.10
ENSG00000005249.13
ENSG00000005302.19
ENSG00000005339.15
ENSG00000005379.17
ENSG00000005381.9
ENSG00000005436.14
ENSG00000005448.17
ENSG00000005469.12
ENSG00000005471.19
ENSG00000005483.23
ENSG00000005486.17
ENSG00000005513.10
ENSG00000005700.15
ENSG00000005801.18
ENSG00000005810.20
ENSG00000005812.11
ENSG00000005844.19
ENSG00000005882.12
ENSG00000005884.18
ENSG00000005889.16
ENSG00000005893.16
ENSG00000005961.19
ENSG00000006007.12
ENSG00000006015.18
ENSG00000006016.12
ENSG00000006025.12
ENSG00000006042.12
ENSG00000006047.13
ENSG00000006062.18
ENSG00000006071.16
ENSG00000006118.15
ENSG00000006125.18
ENSG00000006194.11
ENSG00000006282.21
ENSG00000006283.18
ENSG00000006327.14
ENSG00000006377.11
ENSG00000006432.16
ENSG00000006451.8
ENSG00000006453.14
